day,1 USD=
26-01-2022,75.3485
27-01-2022,75.3485
28-01-2022,75.65275
29-01-2022,75.2329
30-01-2022,75.0602
31-01-2022,75.0476
01-02-2022,74.6636
02-02-2022,74.6844
03-02-2022,74.6844
04-02-2022,74.491
05-02-2022,74.6681
06-02-2022,74.6113
07-02-2022,75.66395
08-02-2022,75.09985
09-02-2022,75.0554
10-02-2022,75.0755
11-02-2022,75.4553
12-02-2022,75.8946
13-02-2022,75.5301
14-02-2022,75.9624
15-02-2022,76.466
16-02-2022,76.4255
17-02-2022,76.4255
18-02-2022,76.9474
19-02-2022,77.0597
20-02-2022,76.3283
21-02-2022,76.4276
22-02-2022,76.6441
23-02-2022,76.7592
24-02-2022,76.7592
25-02-2022,76.4743
26-02-2022,76.4648
27-02-2022,76.1822
28-02-2022,75.968
01-03-2022,76.06165
02-03-2022,75.94665
03-03-2022,75.94665
04-03-2022,76.21815
05-03-2022,76.1334
06-03-2022,76.4776
07-03-2022,76.2806
08-03-2022,76.26395
09-03-2022,76.2855
10-03-2022,76.2855
11-03-2022,76.142
12-03-2022,75.63
13-03-2022,75.7865
14-03-2022,75.90985
15-03-2022,76.0091
16-03-2022,75.9955
17-03-2022,75.4497
18-03-2022,75.4031
19-03-2022,75.9296
20-03-2022,75.927
21-03-2022,76.2245
22-03-2022,75.9175
23-03-2022,75.9175
24-03-2022,75.9115
25-03-2022,76.0995
26-03-2022,76.033
27-03-2022,76.292
28-03-2022,76.32925
29-03-2022,76.3316
30-03-2022,76.3316
31-03-2022,76.2567
01-04-2022,76.37565
02-04-2022,76.2866
03-04-2022,76.2949
04-04-2022,76.521
05-04-2022,76.4755
06-04-2022,76.4755
07-04-2022,76.5408
08-04-2022,76.6719
09-04-2022,76.4859
10-04-2022,76.6482
11-04-2022,76.51845
12-04-2022,76.5233
13-04-2022,76.5233
14-04-2022,76.5192
15-04-2022,76.5569
16-04-2022,76.2693
17-04-2022,76.52375
18-04-2022,76.9526
19-04-2022,76.955
20-04-2022,76.955
21-04-2022,77.4085
22-04-2022,77.2912
23-04-2022,77.3052
24-04-2022,77.366
25-04-2022,77.44115
26-04-2022,77.4865
27-04-2022,77.4865
28-04-2022,77.8475
29-04-2022,77.4985
30-04-2022,77.722
01-05-2022,77.4095
02-05-2022,77.85275
03-05-2022,77.8186
04-05-2022,77.8186
